name,type,maxLevel,league,tier,level,partsForUpgrade,softForUpgrade,timeForUpgrade,allPartOnLevel,bonusHealth,bonusStrength,bonusDefense,bonusPenetration,passive
"Оружие 1, тир 1",WEAPON,40,1,1,1,,,,,,9,,,
,,,,,2,1,100,0,1,,18,,,
,,,,,3,2,200,0,3,,27,,,
,,,,,4,4,400,0,7,,36,,,
,,,,,5,6,600,0,13,,45,,,
,,,,,6,8,800,0,21,,54,,,
,,,,,7,10,1000,0,31,,63,,,
,,,,,8,12,1200,0,43,,72,,,
,,,,,9,14,1400,0,57,,81,,,
,,,,,10,16,1600,0,73,,90,,,
,,,,,11,20,2000,0,93,,99,,,
,,,,,12,25,2500,0,118,,108,,,
,,,,,13,30,3000,0,148,,117,,,
,,,,,14,35,3500,0,183,,126,,,
,,,,,15,40,4000,0,223,,135,,,
,,,,,16,45,4500,0,268,,144,,,
,,,,,17,50,5000,0,318,,153,,,
,,,,,18,55,5500,0,373,,162,,,
,,,,,19,60,6000,0,433,,171,,,
,,,,,20,70,7000,0,503,,180,,,
,,,,,21,80,8000,0,583,,189,,,
,,,,,22,90,9000,0,673,,198,,,
,,,,,23,100,10000,0,773,,207,,,
,,,,,24,110,11000,0,883,,216,,,
,,,,,25,120,12000,0,1003,,225,,,
,,,,,26,130,13000,0,1133,,234,,,
,,,,,27,140,14000,0,1273,,243,,,
,,,,,28,150,15000,0,1423,,252,,,
,,,,,29,160,16000,0,1583,,261,,,
,,,,,30,175,17500,0,1758,,270,,,
,,,,,31,200,20000,0,1958,,279,,,
,,,,,32,225,22500,0,2183,,288,,,
,,,,,33,250,25000,0,2433,,297,,,
,,,,,34,275,27500,0,2708,,306,,,
,,,,,35,300,30000,0,3008,,315,,,
,,,,,36,325,32500,0,3333,,324,,,
,,,,,37,350,35000,0,3683,,333,,,
,,,,,38,375,37500,0,4058,,342,,,
,,,,,39,400,40000,0,4458,,351,,,
,,,,,40,450,45000,0,4908,,360,,,
"Оружие 2, тир 1",WEAPON,40,1,1,1,,,,,,7,,2,
,,,,,2,1,100,0,1,,14,,5,
,,,,,3,2,200,0,3,,20,,7,
,,,,,4,4,400,0,7,,27,,9,
,,,,,5,6,600,0,13,,34,,11,
,,,,,6,8,800,0,21,,41,,14,
,,,,,7,10,1000,0,31,,47,,16,
,,,,,8,12,1200,0,43,,54,,18,
,,,,,9,14,1400,0,57,,61,,20,
,,,,,10,16,1600,0,73,,68,,23,
,,,,,11,20,2000,0,93,,74,,25,
,,,,,12,25,2500,0,118,,81,,27,
,,,,,13,30,3000,0,148,,88,,29,
,,,,,14,35,3500,0,183,,95,,32,
,,,,,15,40,4000,0,223,,101,,34,
,,,,,16,45,4500,0,268,,108,,36,
,,,,,17,50,5000,0,318,,115,,38,
,,,,,18,55,5500,0,373,,122,,41,
,,,,,19,60,6000,0,433,,128,,43,
,,,,,20,70,7000,0,503,,135,,45,
,,,,,21,80,8000,0,583,,142,,47,
,,,,,22,90,9000,0,673,,149,,50,
,,,,,23,100,10000,0,773,,155,,52,
,,,,,24,110,11000,0,883,,162,,54,
,,,,,25,120,12000,0,1003,,169,,56,
,,,,,26,130,13000,0,1133,,176,,59,
,,,,,27,140,14000,0,1273,,182,,61,
,,,,,28,150,15000,0,1423,,189,,63,
,,,,,29,160,16000,0,1583,,196,,65,
,,,,,30,175,17500,0,1758,,203,,68,
,,,,,31,200,20000,0,1958,,209,,70,
,,,,,32,225,22500,0,2183,,216,,72,
,,,,,33,250,25000,0,2433,,223,,74,
,,,,,34,275,27500,0,2708,,230,,77,
,,,,,35,300,30000,0,3008,,236,,79,
,,,,,36,325,32500,0,3333,,243,,81,
,,,,,37,350,35000,0,3683,,250,,83,
,,,,,38,375,37500,0,4058,,257,,86,
,,,,,39,400,40000,0,4458,,263,,88,
,,,,,40,450,45000,0,4908,,270,,90,
"Оружие 3, тир 1",WEAPON,40,1,1,1,,,,,4,7,,,
,,,,,2,1,100,0,1,8,14,,,
